Id_Show,Tipo,Titulo,Director,Actores,Lanzamiento,Clasificacion,Duracion,Genero,Plataforma
s1,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",2014,Sin Dato,113 min,"Comedy, Drama",Amazon_Prime
s2,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2018,13+,110 min,"Drama, International",Amazon_Prime
s3,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",2017,Sin Dato,74 min,"Action, Drama, Suspense",Amazon_Prime
s4,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",2014,Sin Dato,69 min,Documentary,Amazon_Prime
s5,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",1989,Sin Dato,45 min,"Drama, Fantasy",Amazon_Prime
s6,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",1989,Sin Dato,52 min,"Fantasy, Kids",Amazon_Prime
s7,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",2017,Sin Dato,98 min,"Documentary, Special Interest",Amazon_Prime
s8,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",2016,Sin Dato,131 min,Comedy,Amazon_Prime
s9,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",2017,Sin Dato,87 min,"Action, Science Fiction, Suspense",Amazon_Prime
s10,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",1994,Sin Dato,92 min,Drama,Amazon_Prime
s11,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",2016,Sin Dato,88 min,"Adventure, Kids",Amazon_Prime
s12,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",2014,Sin Dato,93 min,Comedy,Amazon_Prime
s13,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",2018,Sin Dato,94 min,"Horror, Suspense",Amazon_Prime
s14,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",2020,Sin Dato,46 min,"Documentary, Sports",Amazon_Prime
s15,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",2018,Sin Dato,74 min,Documentary,Amazon_Prime
s16,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",2019,Sin Dato,96 min,"Comedy, Drama",Amazon_Prime
s17,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",2016,13+,87 min,"Horror, Science Fiction",Amazon_Prime
s18,TV Show,Zoo Babies,Sin Dato,Narrator - Gillian Barlett,2008,ALL,1 Season,"Kids, Special Interest",Amazon_Prime
s19,TV Show,Zoë Coombs Marr: Bossy Bottom,Sin Dato,Zoë Coombs Marr,2020,18+,1 Season,"Comedy, Talk Show and Variety",Amazon_Prime
s20,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",2018,R,104 min,Science Fiction,Amazon_Prime
s21,TV Show,Zoboomafoo,Sin Dato,Sin Dato,2001,TV-Y,1 Season,Kids,Amazon_Prime
s22,TV Show,Zo Zo Zombie: Mini-Series,Sin Dato,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",2020,TV-Y7,1 Season,"Action, Anime, Comedy",Amazon_Prime
s23,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama",Amazon_Prime
s24,TV Show,ZeroZeroZero,Sin Dato,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",2020,18+,1 Season,TV Shows,Amazon_Prime
s25,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",1991,R,94 min,Drama,Amazon_Prime
s26,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,Sin Dato,2005,ALL,50 min,Documentary,Amazon_Prime
s27,TV Show,Zahara: The Return,Sin Dato,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",2020,16+,1 Season,TV Shows,Amazon_Prime
s28,TV Show,Z: The Beginning of Everything,Sin Dato,"Christina Ricci  , David Hoflin",2017,18+,1 Season,"Comedy, Drama",Amazon_Prime
s29,TV Show,Yu-Gi-Oh! Zexal,Sin Dato,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",2015,TV-Y7,3 Seasons,"Animation, Anime, Fantasy",Amazon_Prime
s30,TV Show,Yu-Gi-Oh! ARC-V,Sin Dato,"Michael Liscio Jr., Emily Bauer",2018,TV-Y7,3 Seasons,"Action, Adventure, Animation",Amazon_Prime
s31,TV Show,Yu-Gi-Oh! 5D's,Sin Dato,"Gregory Abbey, Bella Hudson, Ed Paul",2011,TV-Y7,2 Seasons,"Anime, Kids",Amazon_Prime
s32,TV Show,Your Bleeped Up Brain,Sin Dato,"Dobrokhotova Ekaterina, Mike New",2013,TV-PG,1 Season,TV Shows,Amazon_Prime
s33,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",1949,18+,86 min,Drama,Amazon_Prime
s34,Movie,Young Love (at the Sun Factory),Sin Dato,Sin Dato,2007,NR,36 min,Music Videos and Concerts,Amazon_Prime
s35,Movie,Young Love (at Bowery Ballroom),Sin Dato,Sin Dato,2007,NR,37 min,Music Videos and Concerts,Amazon_Prime
s36,TV Show,Young Lions,Sin Dato,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",2002,16+,1 Season,"Drama, Suspense",Amazon_Prime
s37,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",2015,R,103 min,Drama,Amazon_Prime
